5513,5757,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 1540 Urad Vlade RS za narodnosti (180402) 6.2.2015 [SMC - Poslanska skupina Stranke Mira Cerarja]","9. izredna seja",x,x,x
5496,5740,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 6)","9. izredna seja",x,x,x
5495,5739,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 7)","9. izredna seja",x,x,x
5493,5737,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 9)","9. izredna seja",x,x,x
5492,5736,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 10)","9. izredna seja",x,x,x
5491,5735,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 11)","9. izredna seja",x,x,x
5490,5734,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 12)","9. izredna seja",x,x,x
5489,5733,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 13)","9. izredna seja",x,x,x
5501,5745,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek] (pod številko 1)","9. izredna seja",x,x,x
5500,5744,"Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek] (pod številko 2)","9. izredna seja",x,x,x
